jour,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Corse-du-Sud,Haute-Corse,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,France entière
2020-03-18,0,11,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,5,0,7,16,0,3,6,0,0,0,0,0,0,15,74,0,0,5,0,0,5,14,3,0,5,0,1,0,1,0,1,0,1,0,8,0,0,1,4,5,5,2,217
2020-03-19,0,19,0,0,0,2,0,0,0,0,6,1,4,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,NA,NA,1,1,0,2,4,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,1,0,6,0,9,19,0,5,14,0,0,0,0,0,3,18,91,12,0,5,0,0,6,22,4,0,6,0,2,0,1,2,1,0,1,0,11,2,3,1,7,5,10,5,325
2020-03-20,0,24,0,0,0,4,1,0,0,0,8,1,4,1,0,0,0,0,0,3,1,0,0,4,2,1,1,1,3,0,1,2,0,2,4,1,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,2,4,0,7,0,9,23,0,5,18,0,1,0,1,0,4,28,105,19,0,8,0,0,6,30,5,2,12,0,3,0,1,2,1,0,1,0,14,2,5,3,11,19,12,10,449
2020-03-21,0,25,0,0,0,6,1,0,0,0,9,1,4,1,0,0,0,0,0,3,1,0,0,6,2,0,1,1,4,0,1,2,0,2,4,1,0,1,1,0,0,0,6,0,1,0,0,0,0,2,0,2,4,0,9,1,12,25,0,5,18,0,1,0,1,0,5,31,121,21,0,10,0,0,7,36,5,3,14,0,7,1,1,2,1,0,1,1,16,2,6,5,17,20,13,14,524
2020-03-22,0,28,0,0,0,7,1,0,0,0,9,1,4,1,0,1,0,0,1,4,1,0,0,8,4,0,1,2,6,0,2,2,0,2,4,1,0,1,1,0,0,0,8,0,2,1,0,0,0,2,0,3,4,0,16,1,13,32,0,11,19,0,1,0,1,0,5,38,136,26,0,12,0,0,7,40,7,3,14,1,8,1,1,2,1,0,1,1,22,2,14,4,21,23,17,18,631
2020-03-23,0,30,1,0,0,8,2,0,0,2,10,1,4,1,0,1,0,0,2,13,1,0,0,10,7,0,2,4,7,0,2,2,0,3,9,1,2,2,3,0,0,0,10,0,3,2,0,1,0,4,0,8,4,1,19,2,17,53,0,15,29,0,3,0,1,0,6,50,157,34,0,13,1,1,12,59,8,3,17,1,9,1,1,5,3,0,3,1,32,2,24,4,28,28,24,30,859
2020-03-24,0,33,1,0,1,8,3,0,0,2,12,1,7,1,0,2,0,0,3,22,1,0,0,11,9,0,3,5,7,0,4,3,0,3,10,2,2,2,3,0,0,0,13,0,6,2,0,1,0,5,2,10,5,1,24,9,17,65,0,19,38,0,6,0,1,0,7,69,187,42,3,20,1,1,14,80,12,11,25,1,13,1,1,7,3,0,3,2,36,2,27,8,33,38,27,40,1099
2020-03-25,0,34,1,0,1,9,4,0,0,6,15,1,12,1,0,4,0,0,3,27,1,0,0,12,14,0,4,5,14,1,5,3,0,6,13,2,5,3,3,0,0,0,16,0,7,1,0,1,0,6,3,16,5,1,28,11,20,79,0,20,44,1,8,0,3,0,7,80,239,52,6,25,1,2,15,112,13,15,37,1,16,1,1,8,3,1,4,3,41,2,30,12,47,47,34,53,1387
2020-03-26,2,36,2,0,1,12,5,0,0,6,15,4,16,1,0,4,0,1,3,32,1,0,0,18,18,1,8,5,17,2,5,3,0,11,16,2,5,3,4,0,0,0,19,0,9,3,0,3,0,8,3,19,7,3,33,12,21,99,0,27,58,1,9,0,4,1,8,93,268,66,6,29,2,2,16,139,14,20,43,1,20,1,1,12,3,2,4,4,47,3,35,15,56,68,52,67,1695
2020-03-27,2,37,4,0,1,12,9,0,0,6,15,5,20,2,0,4,0,2,3,34,1,0,0,21,21,1,10,5,17,2,6,5,0,15,18,3,7,3,4,0,0,0,20,1,12,4,0,3,0,10,4,20,8,3,35,13,25,122,0,35,66,1,9,0,5,1,9,107,290,82,6,32,3,3,19,180,16,21,53,2,22,1,1,12,3,3,6,4,56,3,43,18,74,82,69,81,1993
2020-03-28,3,41,4,0,1,15,10,0,0,7,17,6,23,2,0,6,1,4,3,35,2,0,0,22,21,1,10,5,17,2,6,6,0,17,21,5,8,4,6,1,0,3,27,2,19,6,0,3,0,10,4,24,8,5,38,14,25,152,0,40,77,1,12,0,6,1,9,117,325,96,9,34,4,3,23,211,18,31,61,2,26,1,1,12,4,4,8,4,68,3,44,21,88,100,83,93,2312
2020-03-29,6,42,4,0,1,17,11,0,0,7,17,6,30,2,0,7,3,4,3,37,3,0,0,25,22,1,11,5,17,2,9,7,0,21,23,5,9,4,8,1,0,3,33,3,23,8,0,3,0,10,6,26,8,5,42,14,28,163,0,43,82,1,13,0,6,1,11,135,348,110,10,36,5,4,26,237,22,33,69,2,31,1,1,13,4,4,9,4,72,4,51,33,110,113,99,113,2601
